Unic ID,@TG nick,Motion,API,Date,Time,API answer
,SYSTEM,BOT STARTED,,2025-09-15,18:17:35, 
1166975998,@Ilyailya54321,Button click,,2025-09-15,18:17:41,NONE
1166975998,@Ilyailya54321,Button click,,2025-09-15,18:17:44,NONE
1166975998,@Ilyailya54321,Button click,  ,2025-09-15,18:17:46,NONE
,SYSTEM,BOT STARTED,,2025-09-15,18:31:47, 
1166975998,@Ilyailya54321,Button click,  ,2025-09-15,18:31:54,    :: 15.09.2025:   : 14C - 17C   : 16.09.2025:   : 13C - 17C    : 17.09.2025:   : 12C - 18C   : 18.09.2025:   : 9C - 17C    : 19.09.2025:   : 14C - 19C   : 20.09.2025:   : 12C - 20C    : 21.09.2025:   : 13C - 23C   
1166975998,@Ilyailya54321,Button click,  ,2025-09-15,18:31:58,  :  (USD):   1 USD = 3.0818 BYN (EUR):   1 EUR = 3.6144 BYN  (RUB):   100 RUB = 3.6268 BYN  (CNY):   10 CNY = 4.3025 BYN  (KZT):   1000 KZT = 5.6977 BYN:    
,SYSTEM,BOT STARTED,,2025-09-15,19:11:08, 
207749386,@Kordebalet,Command,NONE,2025-09-15,19:11:53,", !    !    :"
207749386,@Kordebalet,Button click,  ,2025-09-15,19:11:57,    :: 15.09.2025:   : 14C - 17C   : 16.09.2025:   : 13C - 17C    : 17.09.2025:   : 12C - 18C   : 18.09.2025:   : 9C - 17C    : 19.09.2025:   : 14C - 19C   : 20.09.2025:   : 12C - 20C    : 21.09.2025:   : 13C - 23C   
207749386,@Kordebalet,Button click,  ,2025-09-15,19:12:09,  :  (USD):   1 USD = 3.0818 BYN (EUR):   1 EUR = 3.6144 BYN  (RUB):   100 RUB = 3.6268 BYN  (CNY):   10 CNY = 4.3025 BYN  (KZT):   1000 KZT = 5.6977 BYN:    
207749386,@Kordebalet,Button click,,2025-09-15,19:12:21,"  (USD):Binance Coin:   : $914.72   :  -1.3% (24)Bitcoin:   : $114,781.00   :  -0.5% (24)Cardano:   : $0.86   :  -3.6% (24)Ethereum:   : $4,494.52   :  -2.1% (24)Solana:   : $232.38   :  -5.1% (24)"
207749386,@Kordebalet,Keyboard typing,NONE,2025-09-15,19:12:28, : .    /help
